City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,fayzabad,37.1166,70.58,22.46,36,100,2.6,AF,1717649727
306,kirakira,-10.4544,161.9205,28.5,74,55,5.39,SB,1717649727
307,gao,16.6362,1.637,28.0,54,15,4.57,ML,1717649727
308,talnakh,69.4865,88.3972,-2.11,89,98,4.8,RU,1717649727
309,dhidhdhoo,6.8833,73.1,28.7,77,60,4.68,MV,1717649728
310,barcelos,41.5388,-8.6151,17.14,97,100,1.23,PT,1717649728
311,tuy hoa,13.0833,109.3,37.98,39,100,2.33,VN,1717649728
312,pekalongan,-6.8886,109.6753,31.67,62,0,2.36,ID,1717649728
313,dalandzadgad,43.5708,104.425,25.41,7,69,4.93,MN,1717649728
314,yerofey pavlovich,53.9667,121.9667,27.18,29,86,4.23,RU,1717649728
315,bidbid,23.4079,58.1283,36.7,30,0,2.48,OM,1717649729
316,thames,-37.1333,175.5333,13.74,76,88,1.19,NZ,1717649729
317,chilecito,-29.1619,-67.4974,10.51,39,93,0.56,AR,1717649729
318,punasa,22.2333,76.4,37.16,32,7,4.46,IN,1717649729
319,sao felix do xingu,-6.6447,-51.995,21.91,75,82,0.72,BR,1717649729
320,port-cartier,50.0334,-66.8654,14.3,91,24,2.29,CA,1717649729
321,walvis bay,-22.9575,14.5053,13.94,74,0,3.15,NA,1717649729
322,phan thiet,10.9333,108.1,35.52,49,95,5.49,VN,1717649730
323,northwest harborcreek,42.1494,-79.9946,19.18,97,100,2.57,US,1717649730
324,marsh harbour,26.5412,-77.0636,26.96,79,0,5.55,BS,1717649730
325,bom jesus,-9.0744,-44.3586,22.84,61,96,1.11,BR,1717649730
326,codrington,-38.2667,141.9667,14.63,70,76,3.39,AU,1717649730
327,carnarvon,-24.8667,113.6333,23.72,43,4,2.61,AU,1717649730
328,grand forks,47.9417,-97.4337,16.85,55,0,7.72,US,1717649730
329,fortuna,40.5982,-124.1573,12.97,92,100,3.6,US,1717649731
330,bantay,17.5847,120.3892,31.65,84,100,3.64,PH,1717649731
331,el obeid,13.1842,30.2167,28.85,50,75,6.24,SD,1717649731
332,zhelezinka,53.54,75.3072,23.89,60,67,6.77,KZ,1717649731
333,arkhangel'sk,64.5401,40.5433,9.06,81,75,3.0,RU,1717649731
334,kronoby,63.7286,23.0339,16.12,72,0,3.6,FI,1717649731
335,tynda,55.1667,124.7167,20.45,51,46,4.0,RU,1717649732
336,dakhla,23.6848,-15.958,18.98,90,0,7.3,EH,1717649732
337,pierre,44.3683,-100.351,16.82,48,0,5.14,US,1717649732
338,malvan,16.0667,73.4667,31.33,67,89,2.08,IN,1717649732
339,yaren,-0.5472,166.916,28.8,68,97,1.13,NR,1717649732
340,karacasu,37.7282,28.6057,27.31,31,3,0.57,TR,1717649732
341,san pedro pochutla,15.7333,-96.4667,25.94,74,100,2.83,MX,1717649732
342,el granada,37.5027,-122.4694,24.18,81,0,7.72,US,1717649492
343,horta,38.5333,-28.6333,17.23,80,76,5.81,PT,1717649733
344,smara,26.7384,-11.6719,16.63,81,1,3.31,EH,1717649733
345,callao,-12.0667,-77.15,17.62,82,100,2.06,PE,1717649733
